,label,feature_less,feature_more
0,[2],"[[-1.6226846   4.1062875  -0.57733166 -1.0706517  -1.5516174   3.8677545
  -1.4184754   3.290004   -1.8836625   0.36062428]]","[[-0.1611139  -0.6794506   1.7987542   1.0025063   0.01981919  0.77993363
   0.8477445  -0.6931588  -3.5409265  -2.3180034   0.5790349  -0.56014496
   1.9456985   0.9284541   1.6272004  -1.2731985  -1.6395118  -2.5890007
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358 -0.27308106  1.498756    0.71913296 -0.85647637
   0.20073523 -0.02178276 -0.15648785  1.4291263   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
1,[3],"[[ 0.64165616  0.36084715  3.4347167  -1.196011   -0.10355465 -0.536138
   0.23405753 -0.943242    1.3267636   0.36280647]]","[[-0.07510117 -0.2523159  -1.9174631  -0.5261008   0.704358   -0.30896455
   1.1924412  -0.03926316 -0.5343581  -0.54990244 -1.4514766   0.3367951
  -0.22064131 -2.170295   -0.69438195 -0.64392775 -0.30495036 -1.1668917
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358  0.58064157  0.07427394  0.41906667  1.5826331
  -0.13798775  0.68019605 -0.762658    0.18461846  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
2,[1],"[[ 2.9907312 -2.578721  -1.2756267  1.9854215  2.668986  -1.5850068
  -0.6260873  1.4187417  2.6429296  2.118041 ]]","[[-2.2581124   0.6990215   0.7251076  -0.40740007 -0.16334075 -1.6296569
   1.3455738   1.3752837  -0.15429857  0.3908026  -1.7471626  -0.08308153
  -1.4519608   1.987087    0.33911487  0.64367604 -0.38969028  0.9001191
  -1.0597801  -1.374451   -0.881253    0.17973001  0.191451    2.3760703
  -0.32678244  0.96553314 -1.2982203   0.68467396 -0.1849715  -1.8618613
   0.5118908   1.9946312  -1.6964903   1.7900784   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
3,[1],"[[-0.79817104  0.12341645  0.12963146  0.7492299   0.6655716   2.1923208
  -0.7314229   3.238361   -1.5333247  -0.16244161]]","[[-1.5795642   1.1824881  -1.0614165   0.69837064  0.7433312   0.15559904
   0.837348   -0.38706917 -0.3050899  -0.34031004  0.43274987 -0.01405657
   1.0554148   1.4041215  -1.7937044  -0.3171773  -1.5302744   0.47681123
  -0.8815959   0.60768396  1.8332069   0.29604042 -0.8843412   0.8401378
   1.3416959  -0.39539358  0.27007747  2.7178774   0.17330831  0.12640676
   1.0609365  -0.9835539  -0.9370693  -0.5967295   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
4,[0],"[[-0.79817104  0.12341645  0.12963146  0.7492299   0.6655716   2.1923208
  -0.7314229   3.238361   -1.5333247  -0.16244161]]","[[-1.5795642   1.1824881  -1.0614165   0.69837064  0.7433312   0.15559904
   0.837348   -0.38706917 -0.3050899  -0.34031004  0.43274987 -0.01405657
   1.0554148   1.4041215  -1.7937044  -0.3171773  -1.5302744   0.47681123
  -0.8815959   0.60768396  1.8332069   0.29604042 -0.8843412   0.8401378
   1.3416959  -0.39539358  0.27007747  2.7178774   0.17330831  0.12640676
   1.0609365  -0.9835539  -0.9370693  -0.5967295   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
5,[2],"[[-2.2260807   3.3193908   0.27690828 -0.47650966 -0.57167065  3.166019
   0.33113235  2.368694   -1.3130302  -0.5120336 ]]","[[ 0.4571462   0.9592814   0.3396119  -0.45800415 -0.5193296  -0.3763738
  -0.2877322  -0.57382303 -0.49426782  0.34883416  0.86247903  0.518107
   1.9456985   0.9284541   1.6272004  -1.2731985  -1.6395118  -2.5890007
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358 -1.2430704   0.1588092   0.54437983  0.86101437
   0.4069583  -1.4504995   2.2655594   0.93801033  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
6,[2],"[[-0.5798378  0.969869   2.8125255  0.6338706 -1.7097013  3.2236803
  -1.2018368  3.6968486 -1.3697855 -1.1654142]]","[[ 0.32569024 -0.4567059  -0.01946375  1.0208863   0.17722608  1.5689728
  -0.33493587  0.934067   -1.2080655   0.20368268  0.1896877  -0.7759574
   0.33455673  0.768773   -1.2028942   0.9201474  -1.3002174  -1.3387375
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358  2.8309824  -1.0012335  -0.7277741  -1.2629853
   0.93245775 -0.75956863 -0.4615515   0.1937062   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
7,[2],"[[-0.3093465   3.0144684  -0.00871706  0.3282226  -1.1440454   4.245194
  -0.7753819   4.659345   -2.1376495  -1.7039683 ]]","[[-0.58852327 -0.67168754 -0.9354092   0.3146946  -0.5467034   1.8469512
   0.09725451 -1.274837   -1.0354804   0.29735133  0.43824726 -1.5446298
   1.9456985   0.9284541   1.6272004  -1.2731985  -1.6395118  -2.5890007
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358  1.3136383   0.49810988  0.4682348  -1.041195
   0.2207352  -2.68665     1.143807   -0.01913997  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
8,[2],"[[-1.3895093   0.68345404  1.195966   -0.1494875  -1.4928228   3.9991248
  -1.1802499   4.4019837  -1.1760852  -0.9324356 ]]","[[ 0.29623663  1.4321445   0.89466006  1.8881629  -1.4007779   1.3274356
  -1.7230983   0.32293382 -0.4930708  -0.12475964 -1.1394322  -1.2402369
   0.33455673  0.768773   -1.2028942   0.9201474  -1.3002174  -1.3387375
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358  2.8309824  -1.0012335  -0.7277741  -1.2629853
   0.93245775 -0.75956863 -0.4615515   0.1937062   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
9,[1],"[[ 3.2513325  -1.5452473  -1.0022755   1.6840427   1.9429231  -0.5269467
  -0.48656523  2.1663322   1.649004    0.7808407 ]]","[[-2.3054032   0.74371934  0.82252896 -0.4753606  -0.15365267 -1.6545477
   1.4077243   1.3901241  -0.18462643  0.37449434 -1.8575674  -0.11146387
  -1.4640894   2.0405414   0.35332438  0.6722613  -0.45091856  0.930339
  -0.88159597  0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358  0.73650324  0.28650376  0.5172001  -2.0137641
  -0.04817929  0.87529033  0.25122708  0.8222673   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
