,label,feature_less,feature_more
0,[2],"[[ 2.4599488  -2.3237398   2.101011    2.4336195   1.9582254   2.5340033
   0.14074384  2.479026   -2.4696705  -0.75980973]]","[[-0.28901502  0.69631857 -0.6331391   0.75861526  0.7374362   0.7541491
  -0.63872766 -0.6924443  -0.75849015 -0.75271475 -0.0231442  -0.715526
  -0.71491694 -0.7111005   0.6692306  -0.65775764  0.29497296  0.34885794
  -0.22722797  0.65952754 -0.70532995  0.50585544  0.71231306 -0.33755606
   0.6556251   0.01113991 -0.37999675  1.5896502   0.50987    -0.9992328
  -0.02367793  0.0928376  -0.09612544  1.2931453   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
1,[3],"[[ 0.02845079  1.1074382  -0.9946059  -0.56927526  0.12065671  0.873273
   0.22733225 -1.190483    0.18837276  1.8982403 ]]","[[ 0.02038797 -0.10927692 -0.6145765   0.58366144 -0.5139743   0.5020513
   0.72560704  0.4365241  -0.6422337   0.7190531  -0.04560233 -0.04145068
   0.22517848 -0.1559863   0.35768172  0.62991565 -0.11635987 -0.545198
  -0.53237325  0.34733424  0.01432185 -0.0829294   0.5141988  -0.08204712
   0.07689274 -0.51165813  0.63596755  0.42383444  0.46242273  1.5278859
  -0.2871117   0.84680957 -0.25110886  0.17404477  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
2,[1],"[[-0.7272352   1.8778687   1.9133986  -0.88378346 -0.4759247  -1.0314214
   2.151635    0.21165483  1.716615   -1.1796635 ]]","[[ 5.10438919e-01  4.15160298e-01  7.06264973e-01  1.65308148e-01
  -7.58701324e-01 -2.73982137e-01  4.16006818e-02  4.87073921e-02
  -7.42436409e-01  4.64069694e-02 -6.03028655e-01 -4.92442727e-01
   4.02940810e-01 -5.05419493e-01 -6.62968308e-02  9.66112688e-02
  -5.55519685e-02  2.96129644e-01 -7.18228221e-02  1.53150409e-04
  -2.00004742e-01 -2.31692016e-01 -1.36395648e-01 -9.70996171e-02
   1.11077115e-01  5.95574021e-01 -1.15850842e+00  6.37475073e-01
  -1.92386389e-01 -1.75384164e+00  5.70957661e-01  1.89375865e+00
  -1.74924791e+00  2.04633808e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
3,[1],"[[ 2.4703655 -1.2985474  2.3175569  2.2379956  1.314443   1.7352045
   1.4657465  1.6275237 -1.5685979 -0.5051162]]","[[-0.02862864 -0.14265597 -0.0594802   0.23118906  0.44119334  0.26734114
  -0.2870261  -0.7930296   0.16741031 -0.59400314 -0.32711118 -0.836303
  -0.03377815 -0.82246697  0.59670985 -0.7562522   0.10909043  0.29307085
   0.3226214   0.78090817 -0.8453336  -0.01501757  0.76991886  0.03318409
   0.19870315 -0.01275044  0.23673305  2.8699453   0.29506972  0.10788308
   0.917746   -0.8129996  -0.7776107  -0.72470194  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
4,[0],"[[ 2.4703655 -1.2985474  2.3175569  2.2379956  1.314443   1.7352045
   1.4657465  1.6275237 -1.5685979 -0.5051162]]","[[-0.02862864 -0.14265597 -0.0594802   0.23118906  0.44119334  0.26734114
  -0.2870261  -0.7930296   0.16741031 -0.59400314 -0.32711118 -0.836303
  -0.03377815 -0.82246697  0.59670985 -0.7562522   0.10909043  0.29307085
   0.3226214   0.78090817 -0.8453336  -0.01501757  0.76991886  0.03318409
   0.19870315 -0.01275044  0.23673305  2.8699453   0.29506972  0.10788308
   0.917746   -0.8129996  -0.7776107  -0.72470194  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
5,[2],"[[ 1.8578144  -2.8586059   2.4417152   2.2788801   1.6333959   2.777481
  -0.3001284   2.5713513  -2.6089694   0.53493035]]","[[ 0.01426937  0.0990627  -0.73786384  0.66463953  0.74974537  0.73024964
  -0.5153875  -0.70217615 -0.7070663  -0.71665657  0.00436205 -0.6499516
  -0.57215285  0.04980319 -0.01041286 -0.3669488   0.7509315   0.582788
  -0.10516597  0.6044118  -0.7155741   0.70440656  0.704991    0.04712117
   0.29310733  0.11620422 -1.2134646   0.17627244  0.9972138   0.5801734
   0.81909657 -1.1274967   2.0523202   0.98905724  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
6,[2],"[[ 3.159086  -2.4383419  2.022401   2.7502766  3.4196093  1.2180728
  -0.7425594  2.92534   -2.8981903  1.0244162]]","[[-0.0672861  -0.3898746  -0.7341033   0.5595863   0.5784755   0.6298141
  -0.62947786 -0.6868075   0.46400028 -0.546116    0.45955664 -0.6663863
  -0.09788294 -0.37266544  0.42453837 -0.660693    0.0969724   0.06735151
   0.46634614  0.54135513 -0.6778562   0.6044019   0.7317546  -0.58043873
   0.22208232 -0.20053625  2.422751   -1.0125597  -0.600023   -1.4358842
   1.447237   -0.60869354 -1.2168688  -0.09441261  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
7,[2],"[[ 2.9940045  -2.6793003   2.9683952   2.6517954   1.8750695   2.4355774
   0.7653221   3.0571852  -2.2986233  -0.51716924]]","[[ 0.02535213  0.59565014 -0.62825257  0.75675184  0.7438155   0.73447764
  -0.5185127  -0.7423269  -0.7481322  -0.73833686 -0.0870953  -0.6955222
  -0.64566773 -0.72694886  0.6174446  -0.6652649   0.64594674 -0.3987555
  -0.11562694  0.69392586 -0.71197003  0.37414986  0.7035139  -0.63372266
   0.66741246  0.01172286  1.077699    0.68425417  0.22680673 -0.6940173
   0.27924576 -2.830672    1.0972128  -0.01823738  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
8,[2],"[[ 3.3384898 -2.7706647  1.804017   2.9177637  3.635684   1.2051125
  -1.1939434  3.1525044 -3.2295544  0.7202475]]","[[-0.3258951  -0.66303164 -0.6506395   0.41309878  0.6336357   0.6670065
  -0.6621583  -0.6064408   0.318447   -0.5447158   0.25480446 -0.7021201
  -0.48675576 -0.32154554  0.67771494 -0.63682216  0.11654086  0.28577536
   0.5655309   0.05049125 -0.62741834  0.55821484  0.73626333 -0.5403796
   0.22368625 -0.12349743  2.422751   -1.0125597  -0.600023   -1.4358842
   1.447237   -0.60869354 -1.2168688  -0.09441261  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
9,[1],"[[-0.28446245  2.229568    2.450375   -1.0755666  -0.7901685  -0.7498622
   2.9488313   0.17509505  2.7165318  -0.78188765]]","[[ 0.6213791   0.42854935  0.8209096   0.4375319  -0.737929   -0.7526831
   0.6109123  -0.05302157 -0.8233781   0.42791098 -0.66248256 -0.40814883
   0.7022623  -0.647622    0.34173876  0.14353152 -0.12471775  0.3042585
  -0.05433558 -0.41084033 -0.35517865 -0.32869223  0.37596256 -0.13745742
   0.16927703  0.5493082   1.0594581  -0.03983967  0.38511288 -2.0776174
   0.1995977   0.6608591  -0.12634248  1.0996432   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
