,label,feature_less,feature_more
0,[2],"[[ 2.2788186   4.4309945  -0.9446862   2.0107253   0.24016154  2.4652479
   3.059589   -0.49799973  0.5019716   4.0019383 ]]","[[-0.63059306 -0.8425769   1.9088596   1.0674692  -0.5213262   0.7878787
   0.93668735 -0.79352957 -3.7567198  -2.3336496   0.38929686 -0.66882247
   2.002139    0.9352082   1.3683447  -1.4140325  -1.5529788  -2.7215705
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486 -0.24586311  1.6020095   0.73685324 -1.1604499
  -0.03842597 -0.10137726 -0.06462532  1.7164044   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
1,[3],"[[-0.00201219  0.32589495  0.78771627 -0.17125817  1.2623831   0.1902199
   1.7238275  -0.5296877  -0.07850593 -0.87839866]]","[[-0.01190828 -0.02325728 -1.622682   -0.6478462   0.79781514 -0.17150599
   1.1805211   0.03925221 -0.5254691  -0.6836796  -1.3724694   0.38918045
  -0.25866085 -1.8174552  -0.06468552 -0.41244736 -0.5893292  -0.9909213
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486  0.60461503  0.29265788  0.503497    1.5285677
  -0.3199986   0.9651395  -0.35506248  0.14725374  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
2,[1],"[[ 3.017536   -0.5548669   2.4792757  -0.8308093  -1.0809076  -0.9114048
  -0.68609464 -0.52382827 -0.6430564  -0.32568654]]","[[-1.5572503   1.2505609   0.69910675 -0.1279229   0.87380385 -1.2010574
   1.2128338   0.9739815  -0.21926387 -0.19990711 -0.57353127  0.18639894
  -1.6084659   2.134664    0.5202638   0.5375458  -0.537575    0.89185715
  -0.5591273  -0.9196227  -0.48370922  0.06202412  0.05542699  1.6612966
  -0.2115536   0.36113998 -1.2857169   0.5396629  -0.38801846 -1.7111437
   0.45677882  1.9997048  -1.8559295   2.0017173   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
3,[1],"[[ 2.5063772   2.7634661  -0.5241103  -0.13349967  0.4296689   1.7791266
   0.6094787  -0.7241393   1.3960514   1.6138507 ]]","[[-1.6646268   1.4035326  -1.3515972   0.74586844  1.1479158   0.30566686
   0.8128447  -0.31543204 -0.4826761  -0.5791558   0.9288654   0.06839108
   0.7543996   1.1120936  -1.7817875  -0.33146673 -1.2644751   0.15303525
  -0.83306605  0.5335611   1.753679    0.17382461 -0.91133404  0.9446117
   1.2952563  -0.53641486  0.40770972  2.7796607   0.27346     0.04647752
   1.1746277  -1.0431855  -0.798237   -0.65964025  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
4,[0],"[[ 2.5063772   2.7634661  -0.5241103  -0.13349967  0.4296689   1.7791266
   0.6094787  -0.7241393   1.3960514   1.6138507 ]]","[[-1.6646268   1.4035326  -1.3515972   0.74586844  1.1479158   0.30566686
   0.8128447  -0.31543204 -0.4826761  -0.5791558   0.9288654   0.06839108
   0.7543996   1.1120936  -1.7817875  -0.33146673 -1.2644751   0.15303525
  -0.83306605  0.5335611   1.753679    0.17382461 -0.91133404  0.9446117
   1.2952563  -0.53641486  0.40770972  2.7796607   0.27346     0.04647752
   1.1746277  -1.0431855  -0.798237   -0.65964025  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
5,[2],"[[ 0.36671367  2.5115924  -1.0509533   1.8656073   3.163886    1.2782524
   2.6447194  -0.3734734   0.8734468   2.363569  ]]","[[ 0.7067347   1.0481669   0.26805308 -0.32280907 -0.15269576 -0.5579746
  -0.2227825  -0.31172726 -0.3026761   0.29998818  1.0098042   0.8452311
   2.002139    0.9352082   1.3683447  -1.4140325  -1.5529788  -2.7215705
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486 -1.3317755   0.18342678  0.70842403  0.55384827
   0.7368522  -1.0372144   2.1769621   0.9477799   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
6,[2],"[[ 0.29216293  1.6944529  -0.8164475  -0.11966588  0.5445809   0.5587
   1.5374756  -0.9351317   1.3536713   0.72932345]]","[[ 0.27293712 -0.85080665 -0.24106202  0.8324983   0.28397346  1.4692671
  -0.39103463  1.056326   -1.0241055   0.139478    0.03945662 -0.48621485
  -0.34974197  0.13950904 -1.8039689   1.2228197  -0.51845014 -0.80041707
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486  1.941982   -1.2065495  -0.48771584 -0.7870054
   1.185404   -0.5035856  -0.7635788  -0.37390074  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
7,[2],"[[ 2.3488743   4.051556   -0.95016396  1.5032493   1.8443583   2.2109761
   1.7806469  -0.4674616   0.9980754   3.6525261 ]]","[[-1.1452905  -0.8129798  -1.3581868   0.36597672 -0.26624188  1.8704382
   0.22796865 -1.0348247  -0.8329509   0.4084159   0.25013846 -1.2207744
   2.002139    0.9352082   1.3683447  -1.4140325  -1.5529788  -2.7215705
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486  0.86745906  0.53595805  0.21541898 -0.70573455
  -0.07429618 -2.715571    1.0806997  -0.12380302  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
8,[2],"[[-0.5466845   2.1224174  -1.3463069  -0.18338996  0.42455882  0.78727263
   2.275995   -0.66080225  1.4920332   0.9467715 ]]","[[ 0.04231514  1.0895544   0.8439851   1.7275411  -1.4758478   1.2077912
  -1.6957552   0.37592888 -0.28894326 -0.13038333 -1.3331586  -0.9754919
  -0.34974197  0.13950904 -1.8039689   1.2228197  -0.51845014 -0.80041707
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486  1.941982   -1.2065495  -0.48771584 -0.7870054
   1.185404   -0.5035856  -0.7635788  -0.37390074  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
9,[1],"[[ 3.5690498  -0.03105026  2.5843832  -0.10434298 -0.3395016  -0.6846398
   0.42368087 -0.42887738 -0.00491732  0.02768568]]","[[-1.6193924   1.3360554   0.88332933 -0.15260509  1.0520582  -1.2170004
   1.3177159   1.0166866  -0.26519015 -0.28712016 -0.67620087  0.09942833
  -1.6885669   2.3231316   0.5992836   0.65959215 -0.729008    1.0226396
  -0.8330661   0.53356117  1.7536793   0.17382461 -0.9113341   0.9446117
   1.2952564  -0.53641486  0.69295734  0.15648818  0.42115587 -1.8339952
  -0.26211968  0.7509613   0.08853526  0.8186538   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
