sn,fault_time,label,msg_feature,server_model,venus_feature,crashdump_feature
SERVER_25698,2020-10-09 13:43:00,0,"[[2, 3, 4], [5, 6, 4]]",1,"[[0, 0, 0]]","[0, 0]"
SERVER_25699,2020-08-25 18:50:00,0,"[[27, 17, 4], [38, 17, 0], [27, 17, 0], [40, 32, 4], [34, 32, 4], [44, 32, 4], [30, 13, 4], [38, 17, 4], [31, 32, 4], [19, 20, 4], [24, 13, 4], [10, 11, 4], [35, 36, 4], [30, 36, 4], [29, 13, 4], [25, 13, 4], [33, 13, 4], [28, 13, 4], [18, 13, 4], [12, 13, 4], [7, 13, 4]]",27,"[[0, 0, 0]]","[0, 0]"
SERVER_25712,2020-03-16 13:20:00,0,"[[12, 13, 4], [28, 13, 4], [18, 13, 4], [48, 49, 9], [10, 11, 4], [45, 32, 4], [57, 32, 4], [64, 32, 4], [31, 32, 4], [59, 32, 4], [58, 32, 4], [61, 32, 4], [47, 32, 4], [62, 32, 4], [53, 32, 4], [51, 32, 4], [65, 32, 4], [56, 32, 4], [50, 32, 4], [16, 17, 4], [30, 13, 4], [63, 32, 4], [55, 32, 4], [44, 32, 4], [34, 32, 4], [35, 13, 4], [52, 32, 4], [54, 32, 4], [60, 32, 4], [40, 32, 4], [38, 17, 4], [27, 17, 4], [66, 32, 4], [46, 32, 4], [31, 32, 9], [55, 32, 9], [14, 15, 4], [67, 15, 4], [14, 15, 9], [67, 15, 9]]",38,"[[0, 0, 0]]","[0, 0]"
SERVER_25708,2020-07-25 12:44:00,0,"[[65, 32, 4], [55, 32, 4], [58, 32, 4], [62, 32, 4], [30, 13, 4], [66, 32, 4], [60, 32, 4], [34, 32, 4], [35, 13, 4], [45, 32, 4], [44, 32, 4], [46, 32, 4], [63, 32, 4], [59, 32, 4], [47, 32, 4], [56, 32, 4], [51, 32, 4], [53, 32, 4], [40, 32, 4], [57, 32, 4], [54, 32, 4], [61, 32, 4], [50, 32, 4], [31, 32, 4], [64, 32, 4], [38, 17, 4], [7, 13, 4], [28, 13, 4], [19, 20, 4], [25, 13, 4], [24, 13, 4], [12, 13, 4], [18, 13, 4], [29, 13, 4], [33, 13, 4], [43, 42, 4], [30, 36, 4], [48, 49, 4], [35, 36, 4], [48, 49, 9]]",38,"[[0, 0, 0]]","[0, 0]"
SERVER_25711,2020-03-16 16:51:00,0,"[[12, 13, 9], [18, 13, 9], [25, 13, 9], [29, 13, 9], [33, 13, 9], [24, 13, 9], [19, 26, 4], [7, 13, 9], [48, 49, 4], [19, 20, 4], [21, 22, 4], [28, 13, 4], [33, 13, 4], [18, 13, 4], [7, 13, 4], [29, 13, 4], [25, 13, 4], [12, 13, 4], [24, 13, 4], [10, 11, 4], [48, 49, 9], [59, 32, 4], [16, 17, 4], [46, 32, 4], [58, 32, 4], [61, 32, 4], [62, 32, 4], [50, 32, 4], [57, 32, 4], [55, 32, 4], [56, 32, 4], [38, 17, 4], [30, 13, 4], [27, 17, 4], [52, 32, 4], [35, 13, 4], [66, 32, 4], [53, 32, 4], [30, 36, 4], [35, 36, 4]]",38,"[[0, 0, 0]]","[0, 0]"
SERVER_25709,2020-08-17 19:50:00,0,"[[18, 13, 9], [33, 13, 9], [24, 13, 9], [68, 69, 9], [25, 13, 9], [12, 13, 9], [31, 32, 9], [34, 32, 9], [44, 32, 9], [44, 32, 4], [34, 32, 4], [31, 32, 4], [68, 69, 4], [19, 20, 4], [12, 13, 4], [24, 13, 4], [25, 13, 4], [18, 13, 4], [28, 13, 4], [7, 13, 4], [29, 13, 4], [33, 13, 4], [10, 11, 4], [35, 36, 4], [43, 42, 4], [30, 36, 4], [16, 17, 4], [27, 17, 4], [30, 13, 4], [38, 17, 4], [35, 13, 4], [63, 32, 4], [64, 32, 4], [51, 32, 4], [45, 32, 4], [65, 32, 4], [47, 32, 4], [54, 32, 4], [40, 32, 4], [60, 32, 4]]",38,"[[0, 0, 0]]","[0, 0]"
SERVER_15,2020-09-11 09:39:00,0,"[[19, 26, 4], [29, 13, 9], [12, 13, 9], [25, 13, 9], [35, 8, 9], [7, 13, 9], [18, 13, 9], [30, 8, 9], [33, 23, 9], [24, 13, 9], [28, 13, 9], [33, 13, 9], [35, 36, 9], [30, 36, 9], [28, 13, 4], [18, 13, 4], [12, 13, 4], [7, 13, 4], [24, 13, 4], [33, 13, 4], [25, 13, 4], [29, 13, 4], [19, 20, 4], [10, 11, 4]]",38,"[[0, 0, 0]]","[0, 0]"
SERVER_25707,2020-03-16 14:00:00,0,"[[25, 13, 9], [24, 13, 9], [29, 13, 9], [7, 13, 9], [18, 13, 9], [19, 26, 4], [28, 13, 9], [12, 13, 9], [21, 22, 4], [48, 49, 4], [19, 20, 4], [18, 13, 4], [7, 13, 4], [29, 13, 4], [28, 13, 4], [25, 13, 4], [33, 13, 4], [24, 13, 4], [12, 13, 4], [10, 11, 4], [48, 49, 9], [30, 36, 4], [35, 36, 4], [50, 32, 4], [38, 17, 4], [66, 32, 4], [30, 13, 4], [55, 32, 4], [35, 13, 4], [52, 32, 4], [58, 32, 4], [16, 17, 4], [46, 32, 4], [27, 17, 4], [61, 32, 4], [59, 32, 4], [53, 32, 4], [57, 32, 4], [56, 32, 4], [62, 32, 4]]",38,"[[0, 0, 0]]","[0, 0]"
SERVER_443,2020-09-11 05:50:00,0,"[[91, 8, 4], [114, 8, 4], [110, 26, 4], [104, 13, 9], [83, 13, 9], [85, 13, 9], [91, 8, 9], [98, 13, 9], [115, 13, 9], [107, 13, 9], [100, 13, 9], [94, 13, 9], [77, 13, 9], [74, 13, 9], [80, 13, 9], [73, 13, 9], [87, 13, 9], [111, 13, 9], [113, 13, 9], [114, 8, 9], [88, 13, 9], [110, 20, 4], [79, 11, 4], [77, 13, 4], [83, 13, 4], [94, 13, 4], [100, 13, 4], [85, 13, 4], [104, 13, 4], [115, 13, 4], [73, 13, 4], [80, 13, 4], [113, 13, 4], [74, 13, 4], [87, 13, 4], [88, 13, 4], [111, 13, 4], [107, 13, 4], [98, 13, 4]]",55,"[[0, 0, 0]]","[0, 0]"
SERVER_422,2020-11-04 15:11:00,0,"[[79, 11, 4], [107, 8, 4]]",55,"[[0, 0, 0]]","[0, 0]"
